x1,x2,rank_Lambda,nullity_Lambda,active_dim,smith_applicable,lambda1_plus_lambda2
-2.3,0.8000000000000003,1,1,1,False,-0.36372301241461247
-2.3,0.9000000000000004,1,1,1,False,-0.36372301241461247
-2.3,1.0,1,1,1,False,-0.36372301241461247
-2.3,1.1000000000000005,1,1,1,False,-0.36372301241461247
-2.3,1.2000000000000002,1,1,1,False,-0.36372301241461247
-2.3,1.2999999999999998,1,1,1,False,-0.36372301241461247
-2.3,1.4000000000000004,1,1,1,False,-0.36372301241461247
-2.3,1.5,1,1,1,False,-0.36372301241461247
-2.3,1.6000000000000005,1,1,1,False,-0.36372301241461247
-2.3,1.7000000000000002,1,1,1,False,-0.36372301241461247
-2.3,1.8000000000000007,1,1,1,False,-0.36372301241461247
-2.3,1.9000000000000004,1,1,1,False,-0.36372301241461247
-2.3,2.0,1,1,1,False,-0.36372301241461247
-2.3,2.1000000000000005,1,1,1,False,-0.36372301241461247
-2.3,2.2,1,1,1,False,-0.36372301241461247
-2.3,2.3000000000000007,1,1,1,False,-0.36372301241461247
-2.3,2.4000000000000004,1,1,1,False,-0.36372301241461247
-2.3,2.5,1,1,1,False,-0.36372301241461247
-2.3,2.6000000000000005,1,1,1,False,-0.36372301241461247
-2.3,2.7,1,1,1,False,-0.36372301241461247
-2.3,2.8000000000000007,1,1,1,False,-0.36372301241461247
-2.3,2.9000000000000004,1,1,1,False,-0.36372301241461247
-2.3,3.0,1,1,1,False,-0.36372301241461247
-2.2,-3.0,0,2,0,False,
-2.2,-2.9,0,2,0,False,
-2.2,-2.8,0,2,0,False,
-2.2,-2.7,0,2,0,False,
-2.2,-2.6,0,2,0,False,
-2.2,-2.5,0,2,0,False,
-2.2,-2.4,0,2,0,False,
-2.2,-2.3,0,2,0,False,
-2.2,-2.2,0,2,0,False,
-2.2,-2.1,0,2,0,False,
-2.2,-2.0,0,2,0,False,
-2.2,-1.9,0,2,0,False,
-2.2,-1.7999999999999998,0,2,0,False,
-2.2,-1.7,0,2,0,False,
-2.2,-1.5999999999999999,0,2,0,False,
-2.2,-1.5,0,2,0,False,
-2.2,-1.4,0,2,0,False,
-2.2,-1.2999999999999998,0,2,0,False,
-2.2,-1.2,0,2,0,False,
-2.2,-1.0999999999999999,0,2,0,False,
-2.2,-1.0,0,2,0,False,
-2.2,-0.8999999999999999,0,2,0,False,
-2.2,-0.7999999999999998,0,2,0,False,
-2.2,-0.6999999999999997,0,2,0,False,
-2.2,-0.5999999999999996,0,2,0,False,
