x1,x2,rank_Lambda,nullity_Lambda,active_dim,smith_applicable,lambda1_plus_lambda2
-2.9,0.5,1,1,1,False,-1.0103888381981496
-2.9,0.6000000000000001,1,1,1,False,-1.0112291369615556
-2.9,0.7000000000000002,1,1,1,False,-1.0118271184661465
-2.9,0.8000000000000003,1,1,1,False,-1.0122177861032753
-2.9,0.9000000000000004,1,1,1,False,-1.0124325207638842
-2.9,1.0,1,1,1,False,-1.0124992771698427
-2.9,1.1000000000000005,1,1,1,False,-1.012442802927893
-2.9,1.2000000000000002,1,1,1,False,-1.012284878365577
-2.9,1.2999999999999998,1,1,1,False,-1.012044565013026
-2.9,1.4000000000000004,1,1,1,False,-1.0117384513508298
-2.9,1.5,1,1,1,False,-1.0113808920908518
-2.9,1.6000000000000005,1,1,1,False,-1.0109842366601283
-2.9,1.7000000000000002,1,1,1,False,-1.0105590470543822
-2.9,1.8000000000000007,1,1,1,False,-1.0101142978724553
-2.9,1.9000000000000004,1,1,1,False,-1.0096575630558215
-2.9,2.0,1,1,1,False,-1.0091951836432855
-2.9,2.1000000000000005,1,1,1,False,-1.0087324240903859
-2.9,2.2,1,1,1,False,-1.0082736109362502
-2.9,2.3000000000000007,1,1,1,False,-1.00782225609386
-2.9,2.4000000000000004,1,1,1,False,-1.0073811697042245
-2.9,2.5,1,1,1,False,-1.0069525582245828
-2.9,2.6000000000000005,1,1,1,False,-1.006538111858468
-2.9,2.7,1,1,1,False,-1.0061390818272287
-2.9,2.8000000000000007,1,1,1,False,-1.0057563482046559
-2.9,2.9000000000000004,1,1,1,False,-1.0053904766493815
-2.9,3.0,1,1,1,False,-1.005041776580562
-2.8,-3.0,1,1,1,False,-0.7413295219915738
-2.8,-2.9,1,1,1,False,-0.7348287112129981
-2.8,-2.8,1,1,1,False,-0.7307128037092878
-2.8,-2.7,1,1,1,False,-0.7290732315645698
-2.8,-2.6,1,1,1,False,-0.7299328373955304
-2.8,-2.5,1,1,1,False,-0.7332452525155019
