delta_b,E,energy_type
-3.0,0.6011152577970039,original
-2.95,0.6011152577970039,original
-2.9,0.6011152577970039,original
-2.85,0.6011152577970039,original
-2.8,0.6011152577970039,original
-2.75,0.6011152577970039,original
-2.7,0.6011152577970039,original
-2.65,0.6011152577970039,original
-2.6,0.6011152577970039,original
-2.55,0.6011152577970039,original
-2.5,0.6011152577970039,original
-2.45,0.6011152577970039,original
-2.4,0.6011152577970039,original
-2.35,0.6011152577970039,original
-2.3,0.6011152577970039,original
-2.25,0.6011152577970039,original
-2.2,0.6011152577970039,original
-2.15,0.6011152577970039,original
-2.1,0.6011152577970039,original
-2.05,0.6011152577970039,original
-2.0,0.6011152577970039,original
-1.95,0.6011152577970039,original
-1.9,0.6011152577970039,original
-1.8499999999999999,0.6011152577970039,original
-1.7999999999999998,0.6011152577970039,original
-1.75,0.6011152577970039,original
-1.7,0.6011152577970039,original
-1.65,0.6011152577970039,original
-1.5999999999999999,0.6011152577970039,original
-1.5499999999999998,0.6011152577970039,original
-1.5,0.6011152577970039,original
-1.45,0.6011152577970039,original
-1.4,0.6011152577970039,original
-1.3499999999999999,0.6011152577970039,original
-1.2999999999999998,0.6011152577970039,original
-1.25,0.6011152577970039,original
-1.2,0.6011152577970039,original
-1.15,0.6011152577970039,original
-1.0999999999999999,0.6011152577970039,original
-1.0499999999999998,0.6011152577970039,original
-1.0,0.6011152577970039,original
-0.9499999999999997,0.6011152577970039,original
-0.8999999999999999,0.6011152577970039,original
-0.8500000000000001,0.6011152577970039,original
-0.7999999999999998,0.6011152577970039,original
-0.75,0.6011152577970039,original
-0.6999999999999997,0.6011152577970039,original
-0.6499999999999999,0.6011152577970039,original
-0.5999999999999996,0.6011152577970039,original
-0.5499999999999998,0.6011152577970039,original
-0.5,0.6011152577970039,original
-0.44999999999999973,0.6011152577970039,original
-0.3999999999999999,0.6011152577970039,original
-0.34999999999999964,0.6011152577970039,original
-0.2999999999999998,0.6011152577970039,original
-0.25,0.6011152577970039,original
-0.19999999999999973,0.6011152577970039,original
-0.1499999999999999,0.6011152577970039,original
-0.09999999999999964,0.6011152577970039,original
-0.04999999999999982,0.6011152577970039,original
0.0,0.6011152577970039,original
0.050000000000000266,0.6011152577970039,original
0.10000000000000009,0.6011152577970039,original
0.15000000000000036,0.6011152577970039,original
0.20000000000000018,0.6011152577970039,original
0.25,0.6011152577970039,original
0.30000000000000027,0.6011152577970039,original
0.3500000000000001,0.6011152577970039,original
0.40000000000000036,0.6011152577970039,original
0.4500000000000002,0.6011152577970039,original
0.5,0.6011152577970039,original
0.5500000000000003,0.6011152577970039,original
0.6000000000000001,0.6011152577970039,original
0.6500000000000004,0.6011152577970039,original
0.7000000000000002,0.6011152577970039,original
0.75,0.6011152577970039,original
0.8000000000000003,0.6011152577970039,original
0.8500000000000001,0.6011152577970039,original
0.9000000000000004,0.6011152577970039,original
0.9500000000000002,0.6011152577970039,original
1.0,0.6011152577970039,original
1.0499999999999998,0.6011152577970039,original
1.1000000000000005,0.6011152577970039,original
1.1500000000000004,0.6011152577970039,original
1.2000000000000002,0.6011152577970039,original
1.25,0.6011152577970039,original
1.2999999999999998,0.6011152577970039,original
1.3500000000000005,0.6011152577970039,original
1.4000000000000004,0.6011152577970039,original
1.4500000000000002,0.6011152577970039,original
1.5,0.6011152577970039,original
1.5499999999999998,0.6011152577970039,original
1.6000000000000005,0.6011152577970039,original
1.6500000000000004,0.6011152577970039,original
1.7000000000000002,0.6011152577970039,original
1.75,0.6011152577970039,original
1.8000000000000007,0.6011152577970039,original
1.8500000000000005,0.6011152577970039,original
1.9000000000000004,0.6011152577970039,original
1.9500000000000002,0.6011152577970039,original
2.0,0.6011152577970039,original
2.0500000000000007,0.6011152577970039,original
2.1000000000000005,0.6011152577970039,original
2.1500000000000004,0.6011152577970039,original
2.2,0.6011152577970039,original
2.25,0.6011152577970039,original
2.3000000000000007,0.6011152577970039,original
2.3500000000000005,0.6011152577970039,original
2.4000000000000004,0.6011152577970039,original
2.45,0.6011152577970039,original
2.5,0.6011152577970039,original
2.5500000000000007,0.6011152577970039,original
2.6000000000000005,0.6011152577970039,original
2.6500000000000004,0.6011152577970039,original
2.7,0.6011152577970039,original
2.75,0.6011152577970039,original
2.8000000000000007,0.6011152577970039,original
2.8500000000000005,0.6011152577970039,original
2.9000000000000004,0.6011152577970039,original
2.95,0.6011152577970039,original
3.0,0.6011152577970039,original
-3.0,1.2138920850363815,modified
-2.95,1.1460300658621203,modified
-2.9,1.0806680466878584,modified
-2.85,1.0178060275135972,modified
-2.8,0.9574440083393354,modified
-2.75,0.8995819891650741,modified
-2.7,0.844219969990813,modified
-2.65,0.7913579508165511,modified
-2.6,0.7409959316422899,modified
-2.55,0.6931339124680281,modified
-2.5,0.6477718932937668,modified
-2.45,0.6049098741195056,modified
-2.4,0.5645478549452438,modified
-2.35,0.5266858357709826,modified
-2.3,0.4913238165967209,modified
-2.25,0.45846179742245957,modified
-2.2,0.42809977824819817,modified
-2.15,0.4002377590739366,modified
-2.1,0.3748757398996752,modified
-2.05,0.35201372072541365,modified
