ic_id,dynamics,integrator,status,t_final_reached,success,residual_success,distance_success,residual_norm,nearest_eq_distance,energy_initial,energy_final,energy_drop,y0_1,y0_2,yT_1,yT_2
0,original,fixed_rk4,event_converged,6.810000000000012,True,False,True,0.004063962558977842,0.004908027587506147,-0.4306168834567709,-0.5962045990380959,0.16558771558132496,-0.7155909287091426,1.3428351054720267,-0.31499336687260987,0.15325325528189215
0,modified,fixed_rk4,event_converged,7.980000000000022,True,False,True,0.0042511269090583425,0.004995784865556969,0.5813179084751459,9.03603999845997e-06,0.5813088724351474,-0.7155909287091426,1.3428351054720267,-0.3144367149798139,0.15324728189681266
1,original,fixed_rk4,event_converged,7.650000000000019,True,False,True,0.004137060238261034,0.004972006181997917,-0.23816638561494152,-0.5962046548991835,0.358038269284242,-1.0668640425241283,2.791343738367649,-0.31487935196491923,0.1533035065487895
1,modified,fixed_rk4,event_converged,8.850000000000003,True,False,True,0.00424779844259651,0.004982280743530944,3.1049503108678347,9.02189580446267e-06,3.10494128897203,-1.0668640425241283,2.791343738367649,-0.31440511089744005,0.15322608987421021
2,original,fixed_rk4,event_converged,6.9900000000000135,True,False,True,0.003947172174290443,0.00491296995238432,-0.20953358619996343,-0.5962036866516297,0.3866701004516663,1.4420798027558854,-0.2508120454072187,-0.31519721698302944,0.1434762386703797
2,modified,fixed_rk4,event_converged,8.52000000000001,True,False,True,0.004149533463331396,0.004909157884214383,1.732206134326767,8.609313981653525e-06,1.7321975250127852,1.4420798027558854,-0.2508120454072187,-0.31652129921951977,0.14356495859129878
3,original,fixed_rk4,event_converged,7.3500000000000165,True,False,True,0.004396897037378843,0.0049962077597534215,-0.3282050548807425,-0.5962055697705916,0.2680005148898491,-1.7546863904034076,-2.9825003566875425,-0.3172264442334516,0.14367082390116817
3,modified,fixed_rk4,event_converged,8.430000000000012,True,False,True,0.004275641485457496,0.004924317454876145,4.885694223012513,9.140555056082592e-06,4.885685082457457,-1.7546863904034076,-2.9825003566875425,-0.3169882895958834,0.14366768595181245
4,original,fixed_rk4,event_converged,7.77000000000002,True,False,True,0.00403312353747201,0.004921654524397093,0.08910218612840423,-0.596204345258668,0.6853065313870722,1.7055890902114559,-1.6009902414718806,-0.31586208416173966,0.14346504509508903
4,modified,fixed_rk4,event_converged,9.209999999999996,True,False,True,0.00423079714096077,0.004972902711838834,3.137641905072086,8.94982222398091e-06,3.1376329552498623,1.7055890902114559,-1.6009902414718806,-0.31665327194396525,0.14352814581007362
5,original,fixed_rk4,event_converged,6.210000000000007,True,False,True,0.004482541531898237,0.004882163465089487,-0.4428248484873356,-0.5962016696666386,0.15337682117930296,-2.9072298383478437,-0.9331269034614764,-0.31926037553373054,0.15154745933362357
5,modified,fixed_rk4,event_converged,7.620000000000019,True,False,True,0.004049917904672366,0.00495146022010915,4.352377491447507,8.200917517292902e-06,4.35236929052999,-2.9072298383478437,-0.9331269034614764,-0.3152876553371852,0.15332127877001228
6,original,fixed_rk4,event_converged,7.140000000000015,True,False,True,0.004399304841069611,0.004901417206380681,-0.4508259091196372,-0.5962058391992484,0.1453799300796112,-1.9783596555362528,-2.70571340621307,-0.3174919811397963,0.14387723592905838
6,modified,fixed_rk4,event_converged,8.04000000000002,True,False,True,0.00434300221263559,0.004958006956697109,4.713262837210133,9.430834109478816e-06,4.713253406376023,-1.9783596555362528,-2.70571340621307,-0.3171401704064035,0.14368125798501366
7,original,fixed_rk4,event_converged,5.910000000000005,True,False,True,0.004881165723415146,0.004879820928830332,-0.5962063415400474,-0.5962065068169383,1.6527689095102716e-07,-1.5898425640531841,-1.1246460315253142,-0.3190024597101894,0.14493000673005152
7,modified,fixed_rk4,event_converged,5.910000000000005,True,False,True,0.0048726017696949534,0.0048698913862696485,1.622602731597364,1.1871124003017195e-05,1.622590860473361,-1.5898425640531841,-1.1246460315253142,-0.31899938707514097,0.1449409900783709
8,original,fixed_rk4,event_converged,7.80000000000002,True,False,True,0.004091836322141623,0.004961578935187753,0.08758390950719286,-0.5962044675741418,0.6837883770813347,1.303000313588928,-1.9906677325430855,-0.31602134391560804,0.1434377185559259
8,modified,fixed_rk4,event_converged,9.239999999999995,True,False,True,0.004174865769756527,0.004898770089214342,2.928694467814365,8.714752097742376e-06,2.9286857530622674,1.303000313588928,-1.9906677325430855,-0.3166670180495753,0.14360741442501201
