ic_id,dynamics,integrator,status,t_final_reached,success,residual_success,distance_success,residual_norm,nearest_eq_distance,energy_initial,energy_final,energy_drop,y0_1,y0_2,yT_1,yT_2
0,original,fixed_rk4,event_converged,7.3500000000000165,True,False,True,0.004044473234141874,0.004915778813406416,0.7075473220684029,-0.18771179637389968,0.8952591184423025,-0.7155909287091426,1.3428351054720267,0.7047901892710814,-0.228529659513141
0,modified,fixed_rk4,event_converged,12.74999999999992,True,False,True,0.004169393681211669,0.0049819100471648675,1.200319273786652,8.691921834463896e-06,1.2003105818648174,-0.7155909287091426,1.3428351054720267,0.7129172012536904,-0.22692805105767122
1,original,fixed_rk4,event_converged,8.340000000000014,True,False,True,0.0049433207594418264,0.004914419348827055,2.20609260783045,-0.18771920217921095,2.393811810009661,-1.0668640425241283,2.791343738367649,0.7084231047710049,-0.22556573012676978
1,modified,fixed_rk4,event_converged,17.669999999999913,True,False,True,0.004033633587848022,0.004992255843920988,2.4658909064979713,8.135099960507852e-06,2.465882771398011,-1.0668640425241283,2.791343738367649,0.7133023791520801,-0.22735903942345276
2,original,fixed_rk4,event_converged,6.720000000000011,True,False,True,0.00371345140806189,0.004997568875303191,0.012590787267199366,-0.18771067543591757,0.20030146270311694,1.4420798027558854,-0.2508120454072187,0.7142062450299274,-0.22926166181287835
2,modified,fixed_rk4,event_converged,9.03,True,False,True,0.0037244336797933415,0.004994059309297294,0.15223462009255737,6.9357031175894855e-06,0.1522276843894398,1.4420798027558854,-0.2508120454072187,0.7141419242017017,-0.22902684705399126
3,original,fixed_rk4,event_converged,8.220000000000017,True,False,True,0.0037494193751406797,0.004951215827569909,0.0,-0.1877116860097977,0.1877116860097977,-1.7546863904034076,-2.9825003566875425,0.7047577862993759,-0.2322729430370078
3,modified,fixed_rk4,event_converged,10.43999999999997,True,False,True,0.0037344039474327853,0.004998918062989181,6.252724995616007,6.972886421300784e-06,6.252718022729586,-1.7546863904034076,-2.9825003566875425,0.704554433618124,-0.2318433282912819
4,original,fixed_rk4,event_converged,7.1100000000000145,True,False,True,0.0037022142373003795,0.004947749076200672,0.18256809390409628,-0.18771038427970882,0.3702784781838051,1.7055890902114559,-1.6009902414718806,0.7142857599650702,-0.23031315832729038
4,modified,fixed_rk4,event_converged,9.599999999999987,True,False,True,0.0036646909528996016,0.004921120299959737,1.3189375489613437,6.7149798901320946e-06,1.3189308339814536,1.7055890902114559,-1.6009902414718806,0.7140934449345732,-0.22912542149509724
5,original,fixed_rk4,event_converged,8.580000000000009,True,False,True,0.0036729615261388306,0.004928362909887522,0.0,-0.1877110977868343,0.1877110977868343,-2.9072298383478437,-0.9331269034614764,0.7045888109638813,-0.23170848055047913
5,modified,fixed_rk4,event_converged,10.85999999999996,True,False,True,0.0036978521808452938,0.0049564721528064576,6.116331636281376,6.837055375691147e-06,6.116324799226,-2.9072298383478437,-0.9331269034614764,0.7045771455438744,-0.2317705077676016
6,original,fixed_rk4,event_converged,8.310000000000015,True,False,True,0.0037064622130035126,0.004915080667247883,0.0,-0.18771164586452072,0.18771164586452072,-1.9783596555362528,-2.70571340621307,0.7047460563248015,-0.232145077850695
6,modified,fixed_rk4,event_converged,10.559999999999967,True,False,True,0.00367764506959017,0.004924446048209168,6.079636936700628,6.762536628940442e-06,6.079630174163999,-1.9783596555362528,-2.70571340621307,0.7046216317234344,-0.23180821353913839
7,original,fixed_rk4,event_converged,8.10000000000002,True,False,True,0.003700895161615578,0.0049530491354889475,0.0,-0.18771114110702142,0.18771114110702142,-1.5898425640531841,-1.1246460315253142,0.7046010497133431,-0.23183896973947596
7,modified,fixed_rk4,event_converged,10.37999999999997,True,False,True,0.0036921443661101895,0.004947521158276871,2.5997812746503954,6.815965010099607e-06,2.5997744586853853,-1.5898425640531841,-1.1246460315253142,0.704589414336412,-0.23178065465861677
8,original,fixed_rk4,event_converged,6.480000000000009,True,False,True,0.004019932607353864,0.004979207477081665,-0.056233330628855105,-0.18771121355820883,0.13147788292935372,1.303000313588928,-1.9906677325430855,0.7140557568722417,-0.23198835853792543
8,modified,fixed_rk4,event_converged,8.640000000000008,True,False,True,0.0036763630176858903,0.004950695938219155,1.7254005858381065,6.757822518904252e-06,1.7253938280155876,1.303000313588928,-1.9906677325430855,0.7141739799200019,-0.2293314722684968
