dynamics,success_rate,residual_success_rate,distance_success_rate,mean_residual,median_residual,mean_eq_distance,median_eq_distance,mean_energy_drop,activation
modified,1.0,0.0,1.0,0.003878617471106173,0.0037299580927488366,0.004958797063886596,0.004961897465326227,2.3186017296675976,relu
original,1.0,0.0,1.0,0.004040166724183349,0.0037435534752820404,0.00494120526178389,0.004942426907378077,0.8642395036810333,relu
modified,1.0,0.0,1.0,0.004283904399933202,0.004209359569880245,0.0049415133484444285,0.00493936614437311,2.824672396255291,softmax
original,1.0,0.0,1.0,0.004289999844858315,0.004140850631936742,0.004937155482866027,0.0049344617882892475,0.25963717099297956,softmax
