c,E,E_minus_E0,y1,y2,energy_type
-3.84,14.675587760416844,14.27264253748252,-3.54,-4.54,modified
-3.76,14.077441040885958,13.674495817951634,-3.46,-4.46,modified
-3.68,13.492094321355072,13.089149098420748,-3.3800000000000003,-4.38,modified
-3.6,12.919547601824187,12.516602378889862,-3.3000000000000003,-4.3,modified
-3.52,12.3598008822933,11.956855659358975,-3.22,-4.22,modified
-3.44,11.812854162762415,11.40990893982809,-3.14,-4.14,modified
-3.36,11.278707443231525,10.8757622202972,-3.06,-4.06,modified
-3.2800000000000002,10.757360723700645,10.35441550076632,-2.9800000000000004,-3.9800000000000004,modified
-3.2,10.248814004169759,9.845868781235435,-2.9000000000000004,-3.9000000000000004,modified
-3.12,9.753067284638874,9.35012206170455,-2.8200000000000003,-3.8200000000000003,modified
-3.04,9.270120565107987,8.867175342173663,-2.74,-3.74,modified
-2.96,8.799973845577101,8.397028622642777,-2.66,-3.66,modified
-2.88,8.342627126046215,7.93968190311189,-2.58,-3.58,modified
-2.8,7.898080406515328,7.495135183581003,-2.5,-3.5,modified
-2.7199999999999998,7.466333686984442,7.063388464050117,-2.42,-3.42,modified
-2.6399999999999997,7.047386967453556,6.644441744519231,-2.34,-3.34,modified
-2.56,6.641240247922671,6.2382950249883455,-2.2600000000000002,-3.26,modified
-2.48,6.247893528391784,5.844948305457459,-2.18,-3.1799999999999997,modified
-2.4,5.867346808860898,5.464401585926573,-2.1,-3.0999999999999996,modified
-2.3200000000000003,5.499600089330015,5.09665486639569,-2.0200000000000005,-3.0200000000000005,modified
-2.24,5.144653369799129,4.741708146864804,-1.9400000000000002,-2.9400000000000004,modified
-2.16,4.802506650268242,4.399561427333917,-1.86,-2.8600000000000003,modified
-2.08,4.473159930737356,4.070214707803031,-1.78,-2.7800000000000002,modified
-2.0,4.15661321120647,3.753667988272145,-1.7,-2.7,modified
-1.92,3.8528664916755844,3.4499212687412593,-1.6199999999999999,-2.62,modified
-1.8399999999999999,3.561919772144698,3.158974549210373,-1.5399999999999998,-2.54,modified
-1.7599999999999998,3.283773052613812,2.880827829679487,-1.4599999999999997,-2.46,modified
-1.6800000000000002,3.018426333082927,2.6154811101486017,-1.3800000000000001,-2.38,modified
-1.6,2.7658796135520407,2.3629343906177156,-1.3,-2.3,modified
-1.52,2.5261328940211545,2.1231876710868294,-1.22,-2.2199999999999998,modified
-1.44,2.2991861744902686,1.8962409515559437,-1.14,-2.1399999999999997,modified
-1.3599999999999999,2.085039454959383,1.6820942320250583,-1.0599999999999998,-2.0599999999999996,modified
-1.2799999999999998,1.8836927354284974,1.4807475124941725,-0.9799999999999998,-1.9799999999999998,modified
-1.1999999999999997,1.6951460158976117,1.2922007929632868,-0.8999999999999997,-1.8999999999999997,modified
-1.12,1.5193992963667267,1.1164540734324018,-0.8200000000000001,-1.82,modified
-1.04,1.3564525768358409,0.953507353901516,-0.74,-1.74,modified
-0.96,1.2063058573049548,0.8033606343706299,-0.6599999999999999,-1.66,modified
-0.8799999999999999,1.0689591377740688,0.6660139148397439,-0.5799999999999998,-1.5799999999999998,modified
-0.7999999999999998,0.944412418243183,0.5414671953088581,-0.49999999999999983,-1.4999999999999998,modified
-0.7199999999999998,0.8326656987122971,0.4297204757779722,-0.41999999999999976,-1.4199999999999997,modified
-0.6400000000000001,0.7337189791814118,0.3307737562470869,-0.34000000000000014,-1.34,modified
-0.56,0.6475722596505259,0.24462703671620095,-0.26000000000000006,-1.26,modified
-0.48,0.57422554011964,0.17128031718531506,-0.18,-1.18,modified
-0.3999999999999999,0.513678820588754,0.11073359765442908,-0.09999999999999992,-1.0999999999999999,modified
-0.31999999999999984,0.46593210105786814,0.0629868781235432,-0.01999999999999985,-1.0199999999999998,modified
-0.23999999999999977,0.4309853815269823,0.02804015859265735,0.06000000000000022,-0.9399999999999997,modified
-0.16000000000000014,0.4088386619960966,0.005893439061771644,0.13999999999999985,-0.8600000000000001,modified
