c,E,E_minus_E0,y1,y2,energy_type
0.0,0.6011152577970039,0.0,-1.0,1.2,original
-0.05,0.6011152577970039,0.0,-1.05,1.2,original
-0.1,0.6011152577970039,0.0,-1.1,1.2,original
-0.15000000000000002,0.6011152577970039,0.0,-1.15,1.2,original
-0.2,0.6011152577970039,0.0,-1.2,1.2,original
-0.25,0.6011152577970039,0.0,-1.25,1.2,original
-0.30000000000000004,0.6011152577970039,0.0,-1.3,1.2,original
-0.35000000000000003,0.6011152577970039,0.0,-1.35,1.2,original
-0.4,0.6011152577970039,0.0,-1.4,1.2,original
-0.45,0.6011152577970039,0.0,-1.45,1.2,original
-0.5,0.6011152577970039,0.0,-1.5,1.2,original
-0.55,0.6011152577970039,0.0,-1.55,1.2,original
-0.6000000000000001,0.6011152577970039,0.0,-1.6,1.2,original
-0.65,0.6011152577970039,0.0,-1.65,1.2,original
-0.7000000000000001,0.6011152577970039,0.0,-1.7000000000000002,1.2,original
-0.75,0.6011152577970039,0.0,-1.75,1.2,original
-0.8,0.6011152577970039,0.0,-1.8,1.2,original
-0.8500000000000001,0.6011152577970039,0.0,-1.85,1.2,original
-0.9,0.6011152577970039,0.0,-1.9,1.2,original
-0.9500000000000001,0.6011152577970039,0.0,-1.9500000000000002,1.2,original
-1.0,0.6011152577970039,0.0,-2.0,1.2,original
-1.05,0.6011152577970039,0.0,-2.05,1.2,original
-1.1,0.6011152577970039,0.0,-2.1,1.2,original
-1.1500000000000001,0.6011152577970039,0.0,-2.1500000000000004,1.2,original
-1.2000000000000002,0.6011152577970039,0.0,-2.2,1.2,original
-1.25,0.6011152577970039,0.0,-2.25,1.2,original
-1.3,0.6011152577970039,0.0,-2.3,1.2,original
-1.35,0.6011152577970039,0.0,-2.35,1.2,original
-1.4000000000000001,0.6011152577970039,0.0,-2.4000000000000004,1.2,original
-1.4500000000000002,0.6011152577970039,0.0,-2.45,1.2,original
-1.5,0.6011152577970039,0.0,-2.5,1.2,original
-1.55,0.6011152577970039,0.0,-2.55,1.2,original
-1.6,0.6011152577970039,0.0,-2.6,1.2,original
-1.6500000000000001,0.6011152577970039,0.0,-2.6500000000000004,1.2,original
-1.7000000000000002,0.6011152577970039,0.0,-2.7,1.2,original
-1.75,0.6011152577970039,0.0,-2.75,1.2,original
-1.8,0.6011152577970039,0.0,-2.8,1.2,original
-1.85,0.6011152577970039,0.0,-2.85,1.2,original
-1.9000000000000001,0.6011152577970039,0.0,-2.9000000000000004,1.2,original
-1.9500000000000002,0.6011152577970039,0.0,-2.95,1.2,original
-2.0,0.6011152577970039,0.0,-3.0,1.2,original
-2.0500000000000003,0.6011152577970039,0.0,-3.0500000000000003,1.2,original
-2.1,0.6011152577970039,0.0,-3.1,1.2,original
-2.15,0.6011152577970039,0.0,-3.15,1.2,original
-2.2,0.6011152577970039,0.0,-3.2,1.2,original
-2.25,0.6011152577970039,0.0,-3.25,1.2,original
-2.3000000000000003,0.6011152577970039,0.0,-3.3000000000000003,1.2,original
-2.35,0.6011152577970039,0.0,-3.35,1.2,original
-2.4000000000000004,0.6011152577970039,0.0,-3.4000000000000004,1.2,original
-2.45,0.6011152577970039,0.0,-3.45,1.2,original
-2.5,0.6011152577970039,0.0,-3.5,1.2,original
-2.5500000000000003,0.6011152577970039,0.0,-3.5500000000000003,1.2,original
-2.6,0.6011152577970039,0.0,-3.6,1.2,original
-2.6500000000000004,0.6011152577970039,0.0,-3.6500000000000004,1.2,original
-2.7,0.6011152577970039,0.0,-3.7,1.2,original
-2.75,0.6011152577970039,0.0,-3.75,1.2,original
-2.8000000000000003,0.6011152577970039,0.0,-3.8000000000000003,1.2,original
-2.85,0.6011152577970039,0.0,-3.85,1.2,original
-2.9000000000000004,0.6011152577970039,0.0,-3.9000000000000004,1.2,original
-2.95,0.6011152577970039,0.0,-3.95,1.2,original
-3.0,0.6011152577970039,0.0,-4.0,1.2,original
-3.0500000000000003,0.6011152577970039,0.0,-4.050000000000001,1.2,original
-3.1,0.6011152577970039,0.0,-4.1,1.2,original
-3.1500000000000004,0.6011152577970039,0.0,-4.15,1.2,original
-3.2,0.6011152577970039,0.0,-4.2,1.2,original
-3.25,0.6011152577970039,0.0,-4.25,1.2,original
-3.3000000000000003,0.6011152577970039,0.0,-4.300000000000001,1.2,original
-3.35,0.6011152577970039,0.0,-4.35,1.2,original
-3.4000000000000004,0.6011152577970039,0.0,-4.4,1.2,original
-3.45,0.6011152577970039,0.0,-4.45,1.2,original
-3.5,0.6011152577970039,0.0,-4.5,1.2,original
-3.5500000000000003,0.6011152577970039,0.0,-4.550000000000001,1.2,original
-3.6,0.6011152577970039,0.0,-4.6,1.2,original
-3.6500000000000004,0.6011152577970039,0.0,-4.65,1.2,original
-3.7,0.6011152577970039,0.0,-4.7,1.2,original
-3.75,0.6011152577970039,0.0,-4.75,1.2,original
-3.8000000000000003,0.6011152577970039,0.0,-4.800000000000001,1.2,original
-3.85,0.6011152577970039,0.0,-4.85,1.2,original
-3.9000000000000004,0.6011152577970039,0.0,-4.9,1.2,original
-3.95,0.6011152577970039,0.0,-4.95,1.2,original
-4.0,0.6011152577970039,0.0,-5.0,1.2,original
0.0,1.567170934580694,0.0,-1.0,1.2,modified
-0.05,1.6493089154064329,0.08213798082573898,-1.05,1.2,modified
-0.1,1.7339468962321711,0.16677596165147723,-1.1,1.2,modified
-0.15000000000000002,1.8210848770579093,0.25391394247721544,-1.15,1.2,modified
-0.2,1.9107228578836484,0.3435519233029545,-1.2,1.2,modified
-0.25,2.0028608387093865,0.4356899041286926,-1.25,1.2,modified
-0.30000000000000004,2.0974988195351254,0.5303278849544315,-1.3,1.2,modified
